pixel,visibility
129,0.0169437527442
130,0.0296360953628
131,0.00333707088401
132,0.0229975504337
133,0.0197914315378
134,0.00835780682004
135,0.00916760018846
136,0.0160493257692
137,0.0231849515425
138,0.0176162578828
139,0.0160978508347
140,0.00377331698278
141,0.00721320928557
142,0.00363466070553
143,0.0140373681791
144,0.0105069753014
145,0.0143333106707
146,0.0150204384798
147,0.0138997814825
148,0.00819857050112
149,0.00367628723782
150,0.0116472933291
151,0.0105965230789
152,0.00596225566583
153,0.00572374763589
154,0.0108651151411
155,0.0157922023348
156,0.00915508584836
157,0.00790707701652
158,0.00345675953756
159,0.00180906079315
160,0.00455063553234
161,0.00482468780881
162,0.011796688944
163,0.00556715950429
164,0.00650278771001
165,0.0133675474834
166,0.00884429550742
167,0.0115165283168
168,0.00733414822293
169,0.00724375956478
170,0.00481020644944
171,0.00878909995949
172,0.00813340791647
173,0.0131806761105
174,0.0105862993072
175,0.00964274652802
176,0.0119862280581
177,0.0126029202389
178,0.0138473992195
179,0.0101125232335
180,0.0141579233613
181,0.0169120267479
182,0.013702486603
183,0.0262385623245
184,0.0161437661986
185,0.015104808784
186,0.0159815025313
187,0.0210487030326
188,0.0290291418354
189,0.0345869728346
190,0.0364544651305
191,0.0508128425523
192,0.0616507373572
193,0.0666923360889
194,0.0851777022808
195,0.0843092496759
196,0.114256899686
197,0.118817443645
198,0.129440670854
199,0.143215253032
200,0.131080316035
201,0.140884082299
202,0.14235643148
203,0.142602614543
204,0.150846311761
205,0.15630483067
206,0.157505093222
207,0.168051535001
208,0.166945052975
209,0.160339884024
210,0.163883970534
211,0.160677199532
212,0.152397637673
213,0.147627991139
214,0.141229281385
215,0.150765579033
216,0.165853525658
217,0.175082445867
218,0.150399585668
219,0.147600332315
220,0.142440555123
221,0.139047638359
222,0.142666133757
223,0.148031423401
224,0.13508702175
225,0.122154578997
226,0.129523415204
227,0.116819030778
228,0.108169903391
229,0.0922920870273
230,0.0781390810468
231,0.0696642728072
232,0.0483429256394
233,0.0495532562312
234,0.0547700659207
235,0.04604111865
236,0.0444944695484
237,0.0246863334929
